File Size (KB),Encryption Time (s),Throughput (KB/s),Memory Usage (MB)
10,0.0006735324859619141,1484.7093805309735,0.009765625
30,0.00027871131896972656,3587.941830624465,0.029296875
90,0.0005955696105957031,1679.064851881505,0.087890625
240,0.0009927749633789062,1007.2776176753122,0.234375
