File Size (KB),Encryption Time (s),Throughput (KB/s),Memory Usage (MB)
10,0.0001800060272216797,5555.369536423841,0.009765625
30,0.0002002716064453125,4993.219047619048,0.029296875
90,0.0003459453582763672,2890.629910406616,0.087890625
240,0.0008308887481689453,1203.5305595408895,0.234375
